Generation,GenScore,BestRecord,BestFitness,Timestamp
1,159,246,477.26,2026-09-02 15:33:24
2,219,266,610.50,2026-09-02 15:33:54
3,375,398,1805.60,2026-09-02 15:34:29
4,282,398,1314.47,2026-09-02 15:35:21
5,539,539,1396.57,2026-09-02 15:35:58
6,303,539,1267.42,2026-09-02 15:36:57
7,563,563,2128.56,2026-09-02 15:37:34
8,585,585,1935.44,2026-09-02 15:38:13
9,547,585,1175.25,2026-09-02 15:38:55
10,247,585,898.35,2026-09-02 15:39:35
11,274,585,702.11,2026-09-02 15:40:24
12,325,585,1383.64,2026-09-02 15:40:57
13,457,585,1048.60,2026-09-02 15:41:30
14,354,585,1344.43,2026-09-02 15:42:06
15,367,585,888.25,2026-09-02 15:42:36
16,502,585,2079.46,2026-09-02 15:43:33
17,617,617,1730.80,2026-09-02 15:44:12
18,413,617,1378.31,2026-09-02 15:45:09
19,336,617,1621.32,2026-09-02 15:46:07
20,380,617,1431.45,2026-09-02 15:46:41
21,310,617,1153.24,2026-09-02 15:47:21
22,328,617,1205.49,2026-09-02 15:47:54
23,373,617,1562.63,2026-09-02 15:48:24
24,608,617,2173.79,2026-09-02 15:48:55
25,313,617,1156.92,2026-09-02 15:49:30
26,310,617,1313.88,2026-09-02 15:50:00
27,381,617,1086.08,2026-09-02 15:50:31
28,362,617,1059.55,2026-09-02 15:51:01
29,353,617,1351.23,2026-09-02 15:51:28
30,318,617,1749.22,2026-09-02 15:52:04
31,466,617,1557.80,2026-09-02 15:52:35
32,463,617,1906.32,2026-09-02 15:53:05
33,335,617,1077.68,2026-09-02 15:53:31
34,395,617,1145.91,2026-09-02 15:54:04
35,348,617,1223.25,2026-09-02 15:54:31
36,326,617,1076.47,2026-09-02 15:55:05
37,410,617,1560.08,2026-09-02 15:55:44
38,540,617,2237.75,2026-09-02 15:56:14
39,541,617,1441.94,2026-09-02 15:56:42
40,595,617,1418.02,2026-09-02 15:57:16
41,241,617,1028.58,2026-09-02 15:57:47
42,262,617,796.86,2026-09-02 15:58:14
43,259,617,1119.42,2026-09-02 15:58:43
44,294,617,1119.42,2026-09-02 15:59:21
45,299,617,1119.42,2026-09-02 15:59:51
46,341,617,1480.45,2026-09-02 16:00:20
47,297,617,1869.88,2026-09-02 16:00:51
48,372,617,1073.09,2026-09-02 16:01:24
49,405,617,1107.45,2026-09-02 16:01:51
50,434,617,1190.20,2026-09-02 16:02:22
51,562,617,1980.65,2026-09-02 16:02:56
52,233,617,779.90,2026-09-02 16:03:26
53,414,617,1034.77,2026-09-02 16:03:54
54,359,617,1221.85,2026-09-02 16:04:25
55,332,617,1067.93,2026-09-02 16:04:56
56,448,617,1202.88,2026-09-02 16:05:25
57,346,617,1345.46,2026-09-02 16:05:50
58,343,617,1095.59,2026-09-02 16:06:16
59,562,617,1356.84,2026-09-02 16:06:44
60,296,617,937.77,2026-09-02 16:07:09
61,479,617,1739.81,2026-09-02 16:07:42
62,494,617,1717.18,2026-09-02 16:08:09
63,553,617,1793.20,2026-09-02 16:08:42
64,1560,1560,7261.82,2026-09-02 16:09:15
65,1056,1560,5711.26,2026-09-02 16:09:45
66,772,1560,3778.73,2026-09-02 16:10:19
67,584,1560,2443.12,2026-09-02 16:10:49
68,845,1560,4869.23,2026-09-02 16:11:28
69,338,1560,1989.49,2026-09-02 16:12:02
70,306,1560,1945.83,2026-09-02 16:12:36
71,1080,1560,2953.29,2026-09-02 16:13:09
72,825,1560,3061.78,2026-09-02 16:13:44
73,1278,1560,4783.14,2026-09-02 16:14:15
74,738,1560,4171.60,2026-09-02 16:14:52
75,956,1560,4846.86,2026-09-02 16:15:27
76,815,1560,3222.48,2026-09-02 16:16:05
77,798,1560,3078.37,2026-09-02 16:16:40
78,607,1560,3286.50,2026-09-02 16:17:16
79,975,1560,3996.64,2026-09-02 16:18:21
80,890,1560,3585.28,2026-09-02 16:18:54
81,914,1560,3925.14,2026-09-02 16:19:38
82,874,1560,3888.49,2026-09-02 16:20:22
83,1079,1560,5432.52,2026-09-02 16:21:06
84,1720,1720,7183.58,2026-09-02 16:21:48
85,872,1720,4451.83,2026-09-02 16:22:25
86,1748,1748,5553.60,2026-09-02 16:23:14
87,2560,2560,9193.56,2026-09-02 16:23:50
88,1348,2560,9342.20,2026-09-02 16:24:30
89,2383,2560,8894.46,2026-09-02 16:25:16
90,745,2560,4417.32,2026-09-02 16:26:07
91,1400,2560,7097.74,2026-09-02 16:26:54
92,1901,2560,7680.24,2026-09-02 16:27:54
93,3507,3507,13587.55,2026-09-02 16:28:38
94,2460,3507,8089.65,2026-09-02 16:29:23
95,1581,3507,13479.58,2026-09-02 16:30:04
96,1286,3507,8652.32,2026-09-02 16:30:55
97,1332,3507,6000.54,2026-09-02 16:31:46
98,1147,3507,3580.15,2026-09-02 16:32:29
99,847,3507,4478.28,2026-09-02 16:33:08
100,1207,3507,6393.88,2026-09-02 16:33:45
101,2271,3507,8803.68,2026-09-02 16:34:23
102,2881,3507,18426.81,2026-09-02 16:35:05
103,1206,3507,7372.26,2026-09-02 16:35:48
104,1538,3507,10117.88,2026-09-02 16:36:53
105,1841,3507,8488.98,2026-09-02 16:37:44
106,1494,3507,7610.71,2026-09-02 16:38:30
107,2069,3507,8749.09,2026-09-02 16:39:28
108,2062,3507,8332.14,2026-09-02 16:40:10
109,2170,3507,13733.72,2026-09-02 16:41:12
110,2878,3507,14921.59,2026-09-02 16:42:11
111,1803,3507,8418.92,2026-09-02 16:43:01
112,2674,3507,8247.54,2026-09-02 16:43:50
113,1490,3507,9232.45,2026-09-02 16:44:38
114,2755,3507,11561.56,2026-09-02 16:45:38
115,1034,3507,7491.24,2026-09-02 16:46:31
116,1562,3507,11634.29,2026-09-02 16:47:29
117,1596,3507,8566.50,2026-09-02 16:48:23
118,3862,3862,13123.60,2026-09-02 16:49:16
119,3789,4296,20181.15,2026-09-02 16:50:19
120,3520,4296,13470.23,2026-09-02 16:51:24
121,2884,4296,11966.17,2026-09-02 16:54:01
122,3507,4296,17466.48,2026-09-02 16:55:49
123,3103,4296,12019.12,2026-09-02 16:56:40
124,1583,4296,10635.05,2026-09-02 16:57:40
125,2453,4296,13417.44,2026-09-02 16:58:49
126,2691,4296,12610.85,2026-09-02 16:59:43
127,3348,4296,10878.35,2026-09-02 17:00:26
128,2421,4296,12964.27,2026-09-02 17:01:17
129,2017,4296,15535.34,2026-09-02 17:02:21
130,2973,4296,17826.56,2026-09-02 17:03:49
131,2680,4296,14077.76,2026-09-02 17:04:52
132,1987,4296,11749.10,2026-09-02 17:06:00
133,2088,4296,12211.37,2026-09-02 17:07:03
134,3234,4296,12961.71,2026-09-02 17:07:55
135,1868,4296,11377.88,2026-09-02 17:09:02
136,3399,4296,14439.02,2026-09-02 17:10:44
137,3488,4296,11422.42,2026-09-02 17:11:42
138,2661,4296,13737.10,2026-09-02 21:17:33
139,3288,4296,16461.82,2026-09-02 21:21:29
140,1685,4296,11044.21,2026-09-02 21:25:02
141,2658,4296,14193.28,2026-09-02 21:27:51
142,1830,4296,7884.63,2026-09-02 21:30:09
143,2337,4296,13294.20,2026-09-02 21:32:51
144,2332,4296,11678.82,2026-09-02 21:35:28
145,1936,4296,12149.38,2026-09-02 21:38:36
146,1969,4296,10614.50,2026-09-02 22:06:11
147,1295,4296,9093.22,2026-09-02 22:06:50
148,2083,4296,7045.18,2026-09-02 22:07:44
149,1991,4296,8850.11,2026-09-02 22:08:37
150,2338,4296,10285.89,2026-09-02 22:09:27
151,2388,4296,9883.48,2026-09-02 22:10:15
152,2192,4296,15358.73,2026-09-02 22:11:07
153,2565,4296,14459.50,2026-09-02 22:11:59
154,1910,4296,11975.46,2026-09-02 22:12:54
155,1673,4296,12760.49,2026-09-02 22:13:49
156,3139,4296,13216.10,2026-09-02 22:14:52
157,1914,4296,12041.65,2026-09-02 22:15:42
158,1093,4296,6386.11,2026-09-02 22:16:29
159,1698,4296,9772.74,2026-09-02 22:17:17
160,2828,4296,12621.36,2026-09-02 22:18:16
161,1703,4296,7182.66,2026-09-02 22:18:53
162,2260,4296,10310.93,2026-09-02 22:19:39
163,2196,4296,13231.02,2026-09-02 22:20:34
164,1600,4296,11005.15,2026-09-02 22:21:26
165,3902,4296,13501.05,2026-09-02 22:22:24
166,1657,4296,9454.53,2026-09-02 22:23:12
167,1442,4296,7471.98,2026-09-02 22:24:00
168,3352,4296,16532.85,2026-09-02 22:25:01
169,3147,4296,13759.08,2026-09-02 22:26:05
170,3360,4296,14400.27,2026-09-02 22:27:02
171,2665,4296,11736.67,2026-09-02 22:28:07
172,2957,4296,15932.08,2026-09-02 22:29:14
173,1741,4296,11594.07,2026-09-02 22:30:20
174,2311,4296,10559.20,2026-09-02 22:31:11
175,1734,4296,10352.14,2026-09-02 22:32:09
176,2253,4296,11686.40,2026-09-02 22:32:54
177,2737,4296,13571.61,2026-09-02 22:33:47
178,1278,4296,6343.11,2026-09-02 22:34:42
179,2015,4296,8117.55,2026-09-02 22:35:34
180,1528,4296,8835.62,2026-09-02 22:36:25
181,3970,4296,17305.29,2026-09-02 22:37:22
182,4144,4627,17330.97,2026-09-02 22:38:29
183,3916,5291,21002.53,2026-09-02 22:39:23
184,3238,5291,13865.04,2026-09-02 22:40:18
185,1640,5291,9096.89,2026-09-02 22:41:03
186,1758,5291,9971.91,2026-09-02 22:41:55
187,3185,5291,11229.11,2026-09-02 22:42:40
188,1280,5291,7935.20,2026-09-02 22:43:46
189,1259,5291,9898.77,2026-09-02 22:44:39
190,1513,5291,9387.96,2026-09-02 22:45:33
191,2387,5291,16771.16,2026-09-02 22:46:34
192,1723,5291,10562.85,2026-09-02 22:47:36
193,1249,5291,8816.32,2026-09-02 22:48:38
194,1515,5291,10658.60,2026-09-02 22:49:44
195,2913,5291,10094.34,2026-09-02 22:50:43
196,1516,5291,11619.47,2026-09-02 22:51:36
197,3250,5291,11218.40,2026-09-02 22:52:32
198,4122,5291,15644.90,2026-09-02 22:53:29
199,1145,5291,8062.30,2026-09-02 22:54:20
200,2326,5291,7412.08,2026-09-02 22:55:14
201,2948,5291,14820.99,2026-09-02 22:56:10
202,2514,5291,8768.81,2026-09-02 22:57:16
203,2495,5291,8984.25,2026-09-02 22:58:14
204,1651,5291,6981.95,2026-09-02 22:59:02
205,3394,5291,16022.28,2026-09-02 23:00:17
206,1794,5291,16022.28,2026-09-02 23:00:59
207,2660,5291,16022.28,2026-09-02 23:01:43
208,1972,5291,16022.28,2026-09-02 23:02:34
209,1768,5291,16022.28,2026-09-02 23:03:26
210,1846,5291,16022.28,2026-09-02 23:04:12
211,3331,5291,16022.28,2026-09-02 23:05:12
212,1983,5291,16022.28,2026-09-02 23:06:02
213,2163,5291,16022.28,2026-09-02 23:06:53
